location,account,date,day_night_label,sentiment_num
<Location with-held due to contract>,SmartRBowl,2020-04-09,day,1.0
<Location with-held due to contract>,St Himark Human Resources Dept.,2020-04-10,day,-1.0
<Location with-held due to contract>,St Himark Parks Department,2020-04-09,day,0.0
<Location with-held due to contract>,TallMayesHouse2003,2020-04-10,night,0.0
<Location with-held due to contract>,TallPlatePaige,2020-04-09,day,1.0
<Location with-held due to contract>,Teresa97A,2020-04-08,day,1.0
<Location with-held due to contract>,ThesaurusGasCompany,2020-04-09,day,1.0
<Location with-held due to contract>,ThomasOctopus75,2020-04-09,day,1.0
<Location with-held due to contract>,TorTuga12,2020-04-10,day,-1.0
<Location with-held due to contract>,WFuriousL,2020-04-10,day,1.0
<Location with-held due to contract>,WalterBear25,2020-04-08,day,1.0
<Location with-held due to contract>,WatchesKurtCat,2020-04-08,night,0.0
<Location with-held due to contract>,WileyIcecreamBenny_Krick,2020-04-08,day,1.0
<Location with-held due to contract>,WileyLightScottie_Garcia,2020-04-08,day,0.0
<Location with-held due to contract>,WileyMccardleCar50,2020-04-08,day,1.0
<Location with-held due to contract>,WileyPlateHunter,2020-04-10,night,-1.0
<Location with-held due to contract>,WileyPlateLupe_Cole,2020-04-08,day,-1.0
<Location with-held due to contract>,Wiretap Phone Company,2020-04-08,day,0.0
Broadview,AObnoxiousWinebrenner,2020-04-06,day,1.0
Broadview,AObnoxiousWinebrenner,2020-04-07,day,0.5
Broadview,AObnoxiousWinebrenner,2020-04-08,day,0.3333333333333333
Broadview,AObnoxiousWinebrenner,2020-04-09,night,1.0
Broadview,AObnoxiousWinebrenner,2020-04-10,night,1.0
Broadview,Albert85H,2020-04-06,day,1.0
Broadview,Albert85H,2020-04-07,day,0.0
Broadview,Albert85H,2020-04-07,night,1.0
Broadview,Albert85H,2020-04-08,night,0.0
Broadview,Albert85H,2020-04-09,day,-1.0
Broadview,Albert85H,2020-04-09,night,0.0
Broadview,Alston1978,2020-04-07,day,0.0
Broadview,Alston1978,2020-04-08,day,0.5
Broadview,Alston1978,2020-04-09,day,0.3333333333333333
Broadview,Alston1978,2020-04-09,night,-1.0
Broadview,Alston1978,2020-04-10,day,1.0
Broadview,AttentativeCandyRivera,2020-04-06,day,-1.0
Broadview,AttentativeCandyRivera,2020-04-07,day,0.0
Broadview,AttentativeCandyRivera,2020-04-08,night,0.0
Broadview,AttentativeCandyRivera,2020-04-10,night,1.0
Broadview,AttentativeCarJessica_Carpenter,2020-04-06,day,1.0
Broadview,AttentativeCarJessica_Carpenter,2020-04-08,day,0.0
Broadview,AttentativeCarJessica_Carpenter,2020-04-08,night,0.0
Broadview,AttentativeCarJessica_Carpenter,2020-04-09,day,1.0
Broadview,AttentativeCarJessica_Carpenter,2020-04-10,day,1.0
Broadview,AttentativeDCar,2020-04-06,day,1.0
Broadview,AttentativeDCar,2020-04-07,day,0.0
Broadview,AttentativeDCar,2020-04-09,day,0.5
Broadview,AttentativeDCar,2020-04-10,day,-0.5
Broadview,AttentativeJosephLight,2020-04-06,day,-1.0
Broadview,AttentativeJosephLight,2020-04-07,day,0.0
Broadview,AttentativeJosephLight,2020-04-07,night,1.0
Broadview,AttentativeJosephLight,2020-04-08,day,-1.0
Broadview,AttentativeJosephLight,2020-04-10,night,0.0
Broadview,AttentativeLashellBanana,2020-04-06,day,-0.6666666666666666
Broadview,AttentativeLashellBanana,2020-04-07,day,0.0
Broadview,AttentativeLashellBanana,2020-04-08,day,0.4
Broadview,AttentativeLashellBanana,2020-04-08,night,0.0
Broadview,AttentativeLashellBanana,2020-04-09,day,0.0
Broadview,AttentativeLashellBanana,2020-04-09,night,0.0
Broadview,AttentativeLashellBanana,2020-04-10,day,0.0
Broadview,AttentativeLisaBread,2020-04-06,day,0.0
Broadview,AttentativeLisaBread,2020-04-07,day,0.5
Broadview,AttentativeLisaBread,2020-04-08,day,0.0
Broadview,AttentativeLisaBread,2020-04-08,night,0.0
Broadview,AttentativeLisaBread,2020-04-09,day,0.0
Broadview,AttentativeLisaBread,2020-04-10,night,0.0
Broadview,AttentativeOlsonBanana,2020-04-07,day,1.0
Broadview,AttentativeOlsonBanana,2020-04-08,day,0.5
Broadview,AttentativeOlsonBanana,2020-04-09,day,0.6666666666666666
Broadview,AttentativeOlsonBanana,2020-04-10,day,1.0
Broadview,AttentativeSpadaBowl,2020-04-07,day,0.0
Broadview,AttentativeSpadaBowl,2020-04-08,day,0.0
Broadview,AttentativeSpadaBowl,2020-04-09,day,0.0
Broadview,AttentativeWarnstaffHouse,2020-04-06,day,0.0
Broadview,AttentativeWarnstaffHouse,2020-04-07,day,1.0
Broadview,AttentativeWarnstaffHouse,2020-04-09,day,0.3333333333333333
Broadview,AttentativeWarnstaffHouse,2020-04-10,day,1.0
Broadview,AttentativeWarnstaffHouse,2020-04-10,night,1.0
Broadview,Audette1998,2020-04-06,day,1.0
Broadview,Audette1998,2020-04-07,day,0.0
Broadview,Audette1998,2020-04-10,day,-1.0
Broadview,Audette1998,2020-04-10,night,0.0
Broadview,BenjaminWhale23,2020-04-06,day,1.0
Broadview,BenjaminWhale23,2020-04-06,night,-1.0
Broadview,BenjaminWhale23,2020-04-08,day,0.0
Broadview,BenjaminWhale23,2020-04-08,night,0.0
Broadview,BenjaminWhale23,2020-04-09,day,0.0
Broadview,BenjaminWhale23,2020-04-10,day,1.0
Broadview,Betty2004,2020-04-06,day,0.0
Broadview,Betty2004,2020-04-07,day,-1.0
Broadview,Betty2004,2020-04-08,day,-0.25
Broadview,Betty2004,2020-04-09,day,0.25
Broadview,Betty2004,2020-04-10,night,1.0
Broadview,Beverly12B,2020-04-06,day,-0.6666666666666666
Broadview,Beverly12B,2020-04-08,day,0.5
Broadview,Beverly12B,2020-04-09,day,0.0
Broadview,BobbyBob,2020-04-08,day,0.0
Broadview,BoogieBunny,2020-04-10,day,-1.0
Broadview,Bradley_TaylorFish86,2020-04-06,day,1.0
Broadview,Bradley_TaylorFish86,2020-04-07,day,1.0
Broadview,Bradley_TaylorFish86,2020-04-07,night,-1.0
Broadview,Bradley_TaylorFish86,2020-04-08,day,0.3333333333333333
Broadview,Bradley_TaylorFish86,2020-04-09,day,0.0
Broadview,BroadviewBoi,2020-04-10,day,1.0
Broadview,Burnside71,2020-04-06,day,0.0
Broadview,Burnside71,2020-04-06,night,0.0
Broadview,Burnside71,2020-04-07,day,1.0
Broadview,Burnside71,2020-04-08,day,-0.3333333333333333
Broadview,Burnside71,2020-04-08,night,-0.5
Broadview,Burnside71,2020-04-09,day,0.0
Broadview,Burnside71,2020-04-10,day,-1.0
Broadview,BusyABread65,2020-04-06,day,-0.5
Broadview,BusyABread65,2020-04-07,day,0.0
Broadview,BusyABread65,2020-04-08,day,0.0
Broadview,BusyABread65,2020-04-09,day,-0.5
Broadview,BusyABread65,2020-04-09,night,0.0
Broadview,BusyCandyManning,2020-04-06,day,0.0
Broadview,BusyCandyManning,2020-04-07,day,-0.3333333333333333
Broadview,BusyCandyManning,2020-04-08,day,1.0
Broadview,BusyCandyManning,2020-04-10,day,0.0
Broadview,BusyGBowl59,2020-04-07,day,0.42857142857142855
Broadview,BusyGBowl59,2020-04-07,night,0.0
Broadview,BusyGBowl59,2020-04-08,day,-0.5
Broadview,BusyGBowl59,2020-04-09,day,0.25
Broadview,BusyGBowl59,2020-04-10,day,0.0
Broadview,BusyPepinPlate,2020-04-06,day,0.75
Broadview,BusyPepinPlate,2020-04-08,day,1.0
Broadview,BusyPepinPlate,2020-04-10,day,0.0
Broadview,BusyRCandy,2020-04-06,day,0.0
Broadview,BusyRCandy,2020-04-06,night,-1.0
Broadview,BusyRCandy,2020-04-07,day,0.5
Broadview,BusyRCandy,2020-04-08,day,0.3333333333333333
Broadview,BusyRCandy,2020-04-08,night,0.0
Broadview,BusyRCandy,2020-04-09,day,1.0
Broadview,BusyRCandy,2020-04-09,night,0.0
Broadview,BusySimonBowl2004,2020-04-06,day,1.0
Broadview,BusySimonBowl2004,2020-04-06,night,-1.0
Broadview,BusySimonBowl2004,2020-04-08,day,0.0
Broadview,BusySimonBowl2004,2020-04-09,day,0.6666666666666666
Broadview,C2Howell,2020-04-06,day,0.0
Broadview,C2Howell,2020-04-09,day,1.0
Broadview,C2Howell,2020-04-09,night,1.0
Broadview,C2Howell,2020-04-10,day,-1.0
Broadview,CandidCouchMary,2020-04-06,day,0.0
Broadview,CandidCouchMary,2020-04-08,day,0.0
Broadview,CandidCouchMary,2020-04-09,day,0.0
Broadview,CandidCouchMary,2020-04-10,night,-1.0
Broadview,CandidDBanana,2020-04-06,day,0.0
Broadview,CandidDBanana,2020-04-06,night,0.0
Broadview,CandidDBanana,2020-04-07,day,1.0
Broadview,CandidDBanana,2020-04-07,night,1.0
Broadview,CandidDBanana,2020-04-08,night,1.0
Broadview,CandidDBanana,2020-04-09,day,-0.5
Broadview,CandidDBanana,2020-04-10,day,0.0
Broadview,CandidFCouch,2020-04-06,day,0.0
Broadview,CandidFCouch,2020-04-07,day,0.0
Broadview,CandidFCouch,2020-04-07,night,1.0
Broadview,CandidFCouch,2020-04-09,night,0.0
Broadview,CandidFCouch,2020-04-10,day,0.0
Broadview,CandidGodboldLight1958,2020-04-06,day,1.0
Broadview,CandidGodboldLight1958,2020-04-07,day,1.0
Broadview,CandidGodboldLight1958,2020-04-08,day,0.0
Broadview,CandidGodboldLight1958,2020-04-10,day,0.0
Broadview,CandidHCandy,2020-04-06,night,1.0
Broadview,CandidHCandy,2020-04-08,night,0.0
Broadview,CandidHCandy,2020-04-09,day,0.3333333333333333
Broadview,CandidHCandy,2020-04-09,night,0.0
Broadview,CandidRBowl,2020-04-06,day,0.0
Broadview,CandidRBowl,2020-04-08,day,0.5
Broadview,CandidRBowl,2020-04-09,day,0.0
Broadview,CandidTBread,2020-04-06,day,0.5
Broadview,CandidTBread,2020-04-07,night,0.0
Broadview,CandidTBread,2020-04-08,day,-0.5
Broadview,CandidTBread,2020-04-09,day,0.5
Broadview,CandidTBread,2020-04-10,day,0.0
Broadview,CarlosLion2005,2020-04-06,day,1.0
Broadview,CarlosLion2005,2020-04-07,day,0.0
Broadview,CarlosLion2005,2020-04-08,night,1.0
Broadview,CarlosLion2005,2020-04-09,day,1.0
Broadview,CarlosLion2005,2020-04-10,day,0.0
Broadview,Carrie_SatcherLion1999,2020-04-06,day,1.0
Broadview,Carrie_SatcherLion1999,2020-04-07,day,1.0
Broadview,Carrie_SatcherLion1999,2020-04-07,night,0.0
Broadview,Carrie_SatcherLion1999,2020-04-09,day,0.0
Broadview,ChristinaFleetMills,2020-04-06,day,-1.0
Broadview,ChristinaFleetMills,2020-04-06,night,-1.0
Broadview,ChristinaFleetMills,2020-04-07,day,1.0
Broadview,ChristinaFleetMills,2020-04-08,day,0.0
Broadview,ChristinaFleetMills,2020-04-09,day,1.0
Broadview,ChristinaFleetMills,2020-04-09,night,0.0
Broadview,ChristineCandidSilva,2020-04-06,night,0.5
Broadview,ChristineCandidSilva,2020-04-07,day,0.5
Broadview,ChristineCandidSilva,2020-04-08,day,-1.0
Broadview,ChristineCandidSilva,2020-04-09,day,0.0
Broadview,Christopher_ChauLion1992,2020-04-06,day,0.3333333333333333
Broadview,Christopher_ChauLion1992,2020-04-06,night,-1.0
Broadview,Christopher_ChauLion1992,2020-04-07,day,0.5
Broadview,ClaraTallF,2020-04-06,day,0.6666666666666666
Broadview,ClaraTallF,2020-04-06,night,1.0
Broadview,ClaraTallF,2020-04-07,day,0.6666666666666666
Broadview,ClaraTallF,2020-04-08,day,-0.3333333333333333
Broadview,ClaraTallF,2020-04-09,day,-0.3333333333333333
Broadview,ClaraTallF,2020-04-09,night,0.0
Broadview,ClaraTallF,2020-04-10,day,0.0
Broadview,CleverBananaTimothy_Case,2020-04-06,day,0.75
Broadview,CleverBananaTimothy_Case,2020-04-06,night,1.0
Broadview,CleverBananaTimothy_Case,2020-04-07,day,0.0
Broadview,CleverBananaTimothy_Case,2020-04-08,day,-1.0
Broadview,CleverBananaTimothy_Case,2020-04-08,night,0.0
Broadview,CleverBreadGary_Beckham,2020-04-06,day,0.5
Broadview,CleverBreadGary_Beckham,2020-04-07,day,0.25
Broadview,CleverBreadGary_Beckham,2020-04-08,day,0.5
Broadview,CleverBreadGary_Beckham,2020-04-09,day,0.0
Broadview,CleverBreadGary_Beckham,2020-04-10,day,0.0
Broadview,CleverBreadGary_Beckham,2020-04-10,night,0.0
Broadview,CleverPlateMarie_Wilkins,2020-04-07,day,0.3333333333333333
Broadview,CleverPlateMarie_Wilkins,2020-04-08,day,0.0
Broadview,CleverPlateMarie_Wilkins,2020-04-08,night,1.0
Broadview,CleverPlateMarie_Wilkins,2020-04-09,night,0.0
Broadview,CleverPlateMarie_Wilkins,2020-04-10,day,0.0
Broadview,CleverSCar,2020-04-06,day,0.5
Broadview,CleverSCar,2020-04-09,night,-0.5
Broadview,CleverSCar,2020-04-10,day,0.0
Broadview,ConnerBear1964,2020-04-06,day,0.5
Broadview,ConnerBear1964,2020-04-07,day,1.0
Broadview,ConnerBear1964,2020-04-08,day,-1.0
Broadview,ConnerBear1964,2020-04-09,day,0.3333333333333333
Broadview,ConnerBear1964,2020-04-09,night,0.0
Broadview,ConnerBear1964,2020-04-10,day,-1.0
Broadview,CookWhatWhen81,2020-04-07,night,1.0
Broadview,CuriousCarCarrie_Sanders,2020-04-06,day,-1.0
Broadview,CuriousCarCarrie_Sanders,2020-04-07,day,0.5
Broadview,CuriousCarCarrie_Sanders,2020-04-08,day,1.0
Broadview,CuriousCarCarrie_Sanders,2020-04-09,day,0.25
Broadview,CuriousCarCarrie_Sanders,2020-04-10,day,0.0
Broadview,CuriousDHouse29,2020-04-06,day,0.5
Broadview,CuriousDHouse29,2020-04-06,night,1.0
Broadview,CuriousDHouse29,2020-04-07,day,1.0
Broadview,CuriousDHouse29,2020-04-08,day,0.25
Broadview,CuriousDHouse29,2020-04-09,day,-0.5
Broadview,CuriousDHouse29,2020-04-09,night,1.0
Broadview,CuriousDHouse29,2020-04-10,day,0.5
Broadview,CuriousIcecreamGillen,2020-04-06,day,-0.5
Broadview,CuriousIcecreamGillen,2020-04-07,day,0.75
Broadview,CuriousIcecreamGillen,2020-04-07,night,-1.0
Broadview,CuriousIcecreamGillen,2020-04-09,day,0.3333333333333333
Broadview,CuriousIcecreamGillen,2020-04-09,night,1.0
Broadview,CuriousKatherynBanana,2020-04-06,day,0.3333333333333333
Broadview,CuriousKatherynBanana,2020-04-07,day,0.0
Broadview,CuriousKatherynBanana,2020-04-07,night,1.0
Broadview,CuriousKatherynBanana,2020-04-08,night,1.0
Broadview,CuriousKatherynBanana,2020-04-09,day,0.6666666666666666
Broadview,CuriousKatherynBanana,2020-04-09,night,-1.0
Broadview,CuriousKatherynBanana,2020-04-10,day,0.0
Broadview,CuriousMBanana,2020-04-06,day,0.0
Broadview,CuriousMBanana,2020-04-07,day,1.0
Broadview,CuriousMBanana,2020-04-07,night,-1.0
Broadview,CuriousMBanana,2020-04-09,day,0.3333333333333333
Broadview,CuriousPlateZachary_Chevez,2020-04-06,day,-1.0
Broadview,CuriousPlateZachary_Chevez,2020-04-07,day,0.0
Broadview,CuriousPlateZachary_Chevez,2020-04-08,day,0.0
Broadview,CuriousPlateZachary_Chevez,2020-04-08,night,-1.0
Broadview,CuriousPlateZachary_Chevez,2020-04-09,day,0.0
Broadview,CuriousPlateZachary_Chevez,2020-04-10,day,0.0
Broadview,CuriousTwittHouse,2020-04-06,day,0.5
Broadview,CuriousTwittHouse,2020-04-07,day,1.0
Broadview,CuriousTwittHouse,2020-04-08,day,0.0
Broadview,CuriousTwittHouse,2020-04-09,day,0.0
Broadview,CuriousTwittHouse,2020-04-09,night,0.0
Broadview,Curtis_BuchananHorse65,2020-04-06,day,-1.0
Broadview,Curtis_BuchananHorse65,2020-04-07,day,0.0
Broadview,Curtis_BuchananHorse65,2020-04-07,night,1.0
Broadview,Curtis_BuchananHorse65,2020-04-08,day,0.16666666666666666
Broadview,Curtis_BuchananHorse65,2020-04-09,day,0.0
Broadview,DarkCarRick_Sato,2020-04-06,day,0.0
Broadview,DarkCarRick_Sato,2020-04-07,day,-1.0
Broadview,DarkCarRick_Sato,2020-04-09,day,0.5
Broadview,DarkCarRick_Sato,2020-04-10,day,1.0
Broadview,DarkCouchGrimes,2020-04-06,day,0.0
Broadview,DarkCouchGrimes,2020-04-07,day,0.5
Broadview,DarkCouchGrimes,2020-04-07,night,0.5
Broadview,DarkCouchGrimes,2020-04-08,day,-0.5
Broadview,DarkCouchGrimes,2020-04-09,night,1.0
Broadview,DarkCouchGrimes,2020-04-10,night,0.0
Broadview,DarkHIcecream,2020-04-07,day,0.0
Broadview,DarkHIcecream,2020-04-08,day,0.0
Broadview,DarkHIcecream,2020-04-09,day,0.5
Broadview,DarkHIcecream,2020-04-09,night,0.0
Broadview,DarkHIcecream,2020-04-10,day,0.0
Broadview,DarkPlateCynthia_Niemczyk,2020-04-06,day,0.5
Broadview,DarkPlateCynthia_Niemczyk,2020-04-07,night,-1.0
Broadview,DarkPlateCynthia_Niemczyk,2020-04-08,day,-1.0
Broadview,DarkPlateCynthia_Niemczyk,2020-04-09,day,1.0
Broadview,DarleneCleverP,2020-04-06,day,0.6666666666666666
Broadview,DarleneCleverP,2020-04-07,day,0.0
Broadview,DarleneCleverP,2020-04-09,day,0.5
Broadview,DarleneCleverP,2020-04-10,day,0.0
Broadview,DavisDog45,2020-04-06,day,0.0
Broadview,DavisDog45,2020-04-09,day,0.0
Broadview,Denise_DeenFish28,2020-04-06,day,0.5
Broadview,Denise_DeenFish28,2020-04-07,day,0.3333333333333333
Broadview,Denise_DeenFish28,2020-04-08,day,0.5
Broadview,Denise_DeenFish28,2020-04-09,day,0.0
Broadview,Denise_DeenFish28,2020-04-09,night,1.0
Broadview,E1989Twitt,2020-04-06,day,1.0
Broadview,E1989Twitt,2020-04-07,night,-1.0
Broadview,E1989Twitt,2020-04-08,day,0.5
Broadview,E1989Twitt,2020-04-08,night,0.0
Broadview,E1989Twitt,2020-04-09,day,0.0
Broadview,E1989Twitt,2020-04-10,day,1.0
Broadview,Eugenia1955,2020-04-06,day,0.3333333333333333
Broadview,Eugenia1955,2020-04-07,night,0.0
Broadview,Eugenia1955,2020-04-08,day,0.0
Broadview,Eugenia1955,2020-04-09,day,0.5
Broadview,FamousBroadwayLight,2020-04-06,day,0.75
Broadview,FamousBroadwayLight,2020-04-08,day,0.5
Broadview,FamousBroadwayLight,2020-04-08,night,-1.0
Broadview,FamousBroadwayLight,2020-04-09,day,-0.5
Broadview,FamousBroadwayLight,2020-04-09,night,-1.0
Broadview,FamousCCouch72,2020-04-06,day,-1.0
Broadview,FamousCCouch72,2020-04-07,day,1.0
Broadview,FamousCCouch72,2020-04-08,day,0.5
Broadview,FamousCCouch72,2020-04-08,night,0.0
Broadview,FamousCCouch72,2020-04-09,day,0.5
Broadview,FamousCCouch72,2020-04-10,day,0.0
Broadview,FamousCarolynCar,2020-04-07,day,0.0
Broadview,FamousCarolynCar,2020-04-08,day,0.0
Broadview,FamousCarolynCar,2020-04-09,day,0.5
Broadview,FamousCarolynCar,2020-04-10,day,0.5
Broadview,FamousCarolynCar,2020-04-10,night,-1.0
Broadview,FamousIlaBanana,2020-04-06,day,0.5
Broadview,FamousIlaBanana,2020-04-08,day,0.5
Broadview,FamousLealBowl2007,2020-04-06,day,0.0
Broadview,FamousLealBowl2007,2020-04-07,day,1.0
Broadview,FamousLealBowl2007,2020-04-08,day,0.6
Broadview,FamousLealBowl2007,2020-04-09,day,1.0
Broadview,FamousLealBowl2007,2020-04-10,day,0.0
Broadview,FamousLealBowl2007,2020-04-10,night,-1.0
Broadview,FamousWBowl1973,2020-04-06,day,0.0
Broadview,FamousWBowl1973,2020-04-07,day,-1.0
Broadview,FamousWBowl1973,2020-04-08,day,0.0
Broadview,FamousWBowl1973,2020-04-09,day,0.0
Broadview,FamousWBowl1973,2020-04-10,day,0.0
Broadview,FamousWBowl1973,2020-04-10,night,0.5
Broadview,FastCandyLingberg,2020-04-06,day,0.0
Broadview,FastCandyLingberg,2020-04-07,day,0.25
Broadview,FastCandyLingberg,2020-04-08,day,0.5
Broadview,FastCandyLingberg,2020-04-09,day,1.0
Broadview,FastCandyLingberg,2020-04-09,night,1.0
Broadview,FastCandyLingberg,2020-04-10,day,1.0
Broadview,FastCandyLingberg,2020-04-10,night,1.0
Broadview,FastDBanana2004,2020-04-07,day,0.2
Broadview,FastDBanana2004,2020-04-08,day,0.0
Broadview,FastDBanana2004,2020-04-10,night,0.5
Broadview,FastDeannaIcecream,2020-04-06,day,1.0
Broadview,FastDeannaIcecream,2020-04-07,day,-0.3333333333333333
Broadview,FastDeannaIcecream,2020-04-08,day,0.0
Broadview,FastDeannaIcecream,2020-04-08,night,0.0
Broadview,FastDeannaIcecream,2020-04-09,night,1.0
Broadview,FastGCar,2020-04-06,day,1.0
Broadview,FastGCar,2020-04-07,day,-0.5
Broadview,FastGCar,2020-04-08,night,1.0
Broadview,FastGCar,2020-04-09,day,0.5
Broadview,FastGCar,2020-04-09,night,-0.5
Broadview,FastGravesBread1955,2020-04-06,day,0.0
Broadview,FastGravesBread1955,2020-04-07,night,1.0
Broadview,FastGravesBread1955,2020-04-08,day,0.0
Broadview,FastGravesBread1955,2020-04-09,day,1.0
Broadview,FastGravesBread1955,2020-04-10,day,1.0
Broadview,FastHLight,2020-04-06,day,0.0
Broadview,FastHLight,2020-04-06,night,1.0
Broadview,FastHLight,2020-04-07,day,1.0
Broadview,FastHLight,2020-04-08,day,0.0
Broadview,FastHLight,2020-04-09,day,-0.5
Broadview,FastHLight,2020-04-09,night,0.0
Broadview,FastMCandy,2020-04-06,day,1.0
Broadview,FastMCandy,2020-04-07,day,0.3333333333333333
Broadview,FastMCandy,2020-04-08,night,-1.0
Broadview,FastMCandy,2020-04-09,day,-0.5
Broadview,FastMCouch28,2020-04-06,day,1.0
Broadview,FastMCouch28,2020-04-08,day,1.0
Broadview,FastMCouch28,2020-04-09,night,1.0
Broadview,FastMCouch28,2020-04-10,day,1.0
Broadview,FastMCouch28,2020-04-10,night,0.0
Broadview,FastMaberyIcecream,2020-04-06,day,0.25
Broadview,FastMaberyIcecream,2020-04-06,night,-1.0
Broadview,FastMaberyIcecream,2020-04-07,night,1.0
Broadview,FastMaberyIcecream,2020-04-08,day,0.0
Broadview,FastMaberyIcecream,2020-04-09,day,0.5
Broadview,FastPBowl75,2020-04-06,day,0.5
