"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/8 23:00","0","0","1","0","0","0","0","0","2","0","0","0","10"
"4/9 00:00","1","0","0","0","0","0","0","0","1","0","0","0","16"
"4/9 01:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/9 02:00","0","1","0","0","0","1","0","0","0","0","1","0","4"
"4/9 03:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/9 05:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/9 06:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/9 07:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/9 08:00","0","0","0","0","0","0","0","0","0","0","1","0","2"
"4/9 09:00","0","0","0","0","0","0","0","0","0","0","0","0","10"
"4/9 10:00","0","0","0","0","0","1","0","0","0","0","1","0","8"
"4/9 11:00","0","0","1","0","0","0","2","0","0","0","0","0","4"
"4/9 12:00","0","0","0","0","0","1","0","0","1","0","0","0","22"
"4/9 13:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/9 14:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/9 15:00","1","3","0","0","0","0","0","0","0","0","0","1","26"
"4/9 16:00","0","1","1","0","0","0","0","0","0","0","0","1","9"
"4/9 17:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/9 18:00","0","0","0","0","0","0","0","0","1","0","0","1","5"
"4/9 19:00","0","0","0","0","0","0","0","0","0","0","1","0","4"
"4/9 20:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/9 21:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/9 22:00","0","0","0","0","0","0","0","0","1","0","0","0","1"
"4/9 23:00","0","0","0","0","0","0","1","0","0","0","0","0","0"
"4/10 00:00","0","0","0","0","1","0","0","0","0","0","0","0","9"
"4/10 01:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/10 03:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/10 04:00","0","0","0","0","0","1","0","0","0","0","0","0","1"
"4/10 05:00","0","0","0","0","0","0","0","0","0","0","0","0","7"
"4/10 06:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/10 07:00","0","0","0","0","1","0","0","0","0","0","1","0","19"
"4/10 08:00","0","0","0","0","0","0","0","0","0","0","0","0","5"
"4/10 09:00","0","0","0","1","0","1","0","0","0","0","2","0","15"
