"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/8 12:00","3","0","1","1","2","0","2","0","0","0","0","3","26"
"4/8 13:00","0","0","0","0","0","17","1","0","1","0","1","6","88"
"4/8 14:00","3","3","1","2","3","11","1","0","12","0","3","3","161"
"4/8 15:00","0","0","0","0","1","6","0","0","5","0","3","0","108"
"4/8 16:00","0","0","0","0","0","0","0","0","3","0","0","1","39"
"4/8 17:00","0","0","1","0","0","5","0","0","2","0","0","0","40"
"4/8 18:00","3","0","2","0","5","4","0","0","8","0","0","2","53"
"4/8 19:00","0","0","2","0","0","2","1","0","8","0","7","0","51"
"4/8 20:00","1","0","0","0","3","0","1","0","3","0","0","1","33"
"4/8 21:00","0","0","0","0","1","0","0","2","0","0","0","0","21"
"4/8 22:00","1","0","1","0","0","0","0","2","1","0","1","0","10"
"4/8 23:00","0","0","2","0","1","1","1","0","0","0","1","0","31"
"4/9 00:00","2","0","0","2","1","4","0","0","1","0","3","0","67"
"4/9 01:00","0","0","0","0","2","0","1","0","0","0","0","0","6"
"4/9 02:00","0","1","0","0","0","1","0","0","0","0","0","0","20"
"4/9 03:00","0","0","0","0","0","2","0","0","0","0","0","0","21"
"4/9 04:00","0","0","0","0","0","0","0","0","0","0","0","0","22"
"4/9 05:00","0","0","0","0","0","0","1","0","0","0","1","0","30"
"4/9 06:00","0","1","1","0","1","0","2","0","0","0","0","0","19"
"4/9 07:00","0","0","0","0","0","2","0","0","0","0","0","0","23"
"4/9 08:00","1","0","0","0","0","4","0","0","0","0","4","1","36"
"4/9 09:00","0","0","0","0","0","1","0","0","2","0","0","0","31"
"4/9 10:00","1","0","0","0","0","2","0","0","1","0","1","0","42"
"4/9 11:00","0","0","0","0","1","4","5","0","1","0","9","0","34"
"4/9 12:00","0","0","0","0","0","3","0","0","4","0","4","0","59"
"4/9 13:00","0","0","2","0","0","8","0","0","0","0","3","0","32"
"4/9 14:00","1","0","1","0","0","2","0","0","0","0","0","0","32"
"4/9 15:00","5","3","0","0","0","3","0","0","3","0","3","0","68"
"4/9 16:00","3","4","0","0","0","0","0","0","2","0","0","1","30"
"4/9 17:00","0","0","0","1","0","0","0","0","0","0","0","3","20"
"4/9 18:00","1","0","0","0","0","1","0","0","0","0","0","1","21"
"4/9 19:00","0","0","1","0","0","1","0","0","0","0","1","1","19"
"4/9 20:00","0","0","0","0","0","1","0","0","0","0","0","0","22"
"4/9 21:00","0","0","0","0","0","0","0","0","2","0","0","0","11"
"4/9 22:00","0","0","0","0","0","0","1","0","2","0","0","0","8"
"4/9 23:00","0","0","0","0","0","0","2","0","1","0","0","0","3"
"4/10 00:00","0","0","0","2","0","0","0","0","0","0","0","0","53"
"4/10 01:00","0","0","0","0","0","0","0","0","0","0","0","0","10"
"4/10 02:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/10 03:00","0","0","0","0","0","0","0","0","1","0","0","0","19"
"4/10 04:00","0","1","2","0","0","4","0","0","0","0","0","0","28"
"4/10 05:00","0","2","0","0","1","0","2","0","0","0","0","0","34"
"4/10 06:00","0","0","1","0","0","0","0","0","0","0","0","0","19"
"4/10 07:00","0","3","0","0","1","1","1","0","0","0","4","0","70"
"4/10 08:00","0","2","0","0","0","0","0","0","0","0","0","0","27"
"4/10 09:00","0","0","0","1","0","2","2","0","0","0","7","0","41"
