"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/7 05:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/7 06:00","0","0","0","0","0","0","0","0","0","0","1","1","15"
"4/7 07:00","0","0","0","0","0","0","0","0","0","0","1","0","20"
"4/7 08:00","0","0","0","0","0","0","0","0","0","0","2","0","23"
"4/7 09:00","0","0","0","0","0","1","0","0","0","0","0","0","27"
"4/7 10:00","0","0","0","0","0","0","0","0","0","0","0","0","27"
"4/7 11:00","0","0","0","0","0","0","0","0","0","0","1","0","27"
"4/7 12:00","0","0","0","0","0","0","0","0","0","0","0","0","35"
"4/7 13:00","0","0","0","0","0","0","0","0","0","0","2","0","34"
"4/7 14:00","0","0","0","0","0","1","0","0","0","0","1","0","27"
"4/7 15:00","0","0","0","0","0","0","0","0","0","0","0","0","35"
"4/7 16:00","0","0","0","0","0","1","0","0","0","0","1","0","41"
"4/7 17:00","0","0","0","0","0","0","0","0","0","0","0","0","28"
"4/7 18:00","1","0","0","0","0","0","0","0","1","0","1","0","52"
"4/7 19:00","0","0","0","0","0","1","0","0","0","0","0","0","27"
"4/7 20:00","0","0","0","0","0","1","0","0","0","0","0","1","32"
"4/7 21:00","0","0","0","0","0","0","0","0","0","0","0","0","18"
"4/7 22:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/7 23:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/8 00:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/8 01:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 02:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 03:00","0","0","0","0","0","0","0","0","0","0","0","1","4"
"4/8 04:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/8 05:00","0","0","0","0","0","0","0","0","0","0","0","0","12"
"4/8 06:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/8 07:00","0","1","0","0","0","0","0","0","2","0","0","0","50"
"4/8 08:00","0","0","0","0","1","0","0","0","0","0","0","0","25"
"4/8 09:00","1","0","0","0","1","1","0","0","0","0","0","0","44"
"4/8 10:00","0","0","0","0","1","0","1","0","0","0","0","1","6"
"4/8 11:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/8 12:00","0","0","0","1","0","0","0","0","1","0","0","1","8"
"4/8 13:00","4","0","0","0","2","11","0","0","1","0","1","7","61"
"4/8 14:00","0","0","2","0","3","7","1","0","9","0","9","2","164"
"4/8 15:00","0","0","0","0","1","3","1","0","5","0","3","0","105"
"4/8 16:00","0","0","0","0","0","0","0","0","2","0","0","0","61"
"4/8 17:00","1","0","0","0","2","2","0","0","3","0","1","0","38"
"4/8 18:00","1","0","3","0","3","5","0","0","3","0","0","0","46"
"4/8 19:00","0","0","2","0","0","2","0","0","9","0","4","0","55"
"4/8 20:00","0","0","1","0","2","0","0","0","2","0","1","0","28"
"4/8 21:00","0","0","0","0","2","1","0","0","0","0","0","0","27"
"4/8 22:00","0","0","0","0","0","0","0","1","3","0","1","0","12"
"4/8 23:00","0","0","3","0","0","0","0","0","1","0","0","0","28"
"4/9 00:00","1","0","0","1","0","0","2","0","1","0","3","0","59"
"4/9 01:00","1","0","0","0","1","0","1","0","0","0","0","0","9"
"4/9 02:00","0","1","0","0","0","3","0","0","0","0","1","0","20"
"4/9 03:00","0","0","0","0","0","1","0","0","1","0","0","1","19"
"4/9 04:00","0","0","0","0","0","1","0","0","0","0","0","0","14"
"4/9 05:00","0","0","0","0","0","0","0","0","2","0","0","2","35"
"4/9 06:00","0","0","0","0","0","0","0","0","1","0","1","0","31"
"4/9 07:00","0","0","1","0","0","0","0","0","1","0","0","0","23"
"4/9 08:00","3","0","0","0","1","5","0","0","0","1","4","0","30"
"4/9 09:00","0","0","0","0","0","0","1","0","2","0","0","0","27"
"4/9 10:00","0","0","2","0","1","0","2","0","2","0","1","0","43"
"4/9 11:00","1","0","1","0","0","0","2","0","2","0","3","0","37"
"4/9 12:00","0","0","0","0","0","0","4","0","2","0","1","0","56"
"4/9 13:00","0","0","0","0","0","2","1","0","0","0","0","1","51"
"4/9 14:00","0","0","0","0","0","1","0","0","2","0","1","0","22"
"4/9 15:00","3","2","0","0","0","2","0","0","3","0","2","0","56"
"4/9 16:00","0","2","0","0","0","0","0","0","5","2","0","3","32"
"4/9 17:00","0","0","0","0","0","0","0","0","0","0","0","0","13"
"4/9 18:00","0","0","0","0","0","0","0","0","1","0","0","3","21"
"4/9 19:00","1","0","1","0","0","0","0","0","1","0","1","1","24"
"4/9 20:00","0","0","0","0","0","1","0","0","1","0","0","0","31"
"4/9 21:00","0","0","0","0","0","0","0","0","0","0","0","1","15"
"4/9 22:00","0","0","0","0","0","0","0","0","2","0","0","0","13"
"4/9 23:00","0","0","0","0","0","0","0","0","1","0","0","1","2"
"4/10 00:00","0","0","0","0","5","1","2","0","0","0","1","0","52"
"4/10 01:00","0","0","0","0","0","0","0","0","0","0","0","0","6"
"4/10 02:00","0","0","0","0","0","0","0","0","2","0","0","0","3"
"4/10 03:00","0","0","0","0","0","0","0","0","0","0","0","0","22"
"4/10 04:00","0","0","1","0","0","3","0","0","0","0","0","0","23"
"4/10 05:00","0","1","0","0","0","1","1","0","0","0","0","1","47"
"4/10 06:00","0","0","0","0","2","0","1","0","0","0","0","0","15"
"4/10 07:00","0","0","1","0","1","4","1","0","0","0","5","0","69"
"4/10 08:00","0","1","0","0","0","0","1","0","0","0","1","0","24"
"4/10 09:00","0","0","0","2","0","1","2","0","4","0","2","0","42"
