"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/7/2020 5:","0","1","0","0","0","0","1","1","0","0","2","0","87"
"4/7/2020 6:","0","0","0","1","0","1","0","0","0","0","6","2","208"
"4/7/2020 7:","0","0","0","0","0","0","0","0","0","0","35","0","335"
"4/7/2020 8:","18","8","0","1","0","2","0","0","0","0","11","3","568"
"4/7/2020 9:","0","0","0","0","1","1","0","0","0","0","1","3","296"
"4/7/2020 10","0","0","0","0","1","0","0","0","0","0","5","4","402"
"4/7/2020 11","0","0","0","1","0","2","1","0","0","0","8","6","487"
"4/7/2020 12","0","0","0","0","0","2","0","0","5","0","8","4","559"
"4/7/2020 13","0","0","0","0","0","1","0","0","0","0","24","2","458"
"4/7/2020 14","1","0","0","1","0","2","1","0","0","0","8","2","424"
"4/7/2020 15","0","0","0","0","2","2","0","1","0","0","6","2","463"
"4/7/2020 16","0","0","0","2","1","5","3","0","0","0","9","9","515"
"4/7/2020 17","1","0","0","0","0","17","0","0","0","0","2","2","427"
"4/7/2020 18","12","0","0","0","1","0","0","0","15","0","4","2","707"
"4/7/2020 19","4","0","0","0","0","1","3","0","0","0","1","0","338"
"4/7/2020 20","0","0","0","0","1","2","9","0","0","0","1","4","359"
"4/7/2020 21","1","0","0","0","0","1","3","0","0","0","1","2","200"
"4/7/2020 22","0","0","0","0","0","0","2","0","0","0","1","3","101"
"4/7/2020 23","1","0","0","0","0","2","1","0","0","0","1","6","102"
"4/8/2020 0:","0","0","0","0","0","0","1","0","0","0","0","1","67"
"4/8/2020 1:","0","0","0","0","0","0","1","0","0","0","0","0","18"
"4/8/2020 2:","0","0","0","0","0","0","1","0","0","0","0","3","35"
"4/8/2020 3:","0","1","0","0","0","1","1","0","0","0","0","4","64"
"4/8/2020 4:","0","0","0","1","1","0","0","0","0","0","1","5","89"
"4/8/2020 5:","0","2","0","0","0","1","1","0","0","0","0","5","108"
"4/8/2020 6:","0","0","0","0","0","1","1","0","0","0","1","3","174"
"4/8/2020 7:","0","1","0","1","0","11","0","0","29","0","5","7","909"
"4/8/2020 8:","14","13","0","1","8","5","0","0","0","0","1","1","614"
"4/8/2020 9:","44","5","0","8","38","17","1","0","1","6","0","6","735"
"4/8/2020 10","0","0","3","1","36","32","4","4","0","11","1","17","170"
"4/8/2020 11","13","0","2","2","7","12","2","0","4","7","3","22","201"
"4/8/2020 12","7","0","2","2","4","14","6","0","5","0","12","21","293"
"4/8/2020 13","26","0","4","0","12","218","8","0","11","0","19","35","858"
"4/8/2020 14","17","12","14","5","44","108","20","4","74","0","48","20","1758"
"4/8/2020 15","1","7","3","0","11","43","6","9","35","0","52","9","1135"
"4/8/2020 16","0","0","2","0","15","9","3","0","47","0","1","13","559"
"4/8/2020 17","11","0","2","0","4","40","5","0","52","0","2","4","464"
"4/8/2020 18","17","0","16","0","30","43","2","0","51","0","1","4","561"
"4/8/2020 19","9","0","27","0","11","38","4","0","82","0","66","2","638"
"4/8/2020 20","2","0","3","0","19","4","3","0","17","0","6","7","353"
"4/8/2020 21","0","0","1","0","19","4","0","3","9","0","4","2","204"
"4/8/2020 22","2","0","3","0","5","3","1","10","29","0","4","4","131"
"4/8/2020 23","1","0","31","0","2","8","4","0","25","0","2","0","420"
"4/9/2020 0:","13","0","0","8","6","12","4","0","18","0","17","2","548"
"4/9/2020 1:","1","0","0","0","6","5","6","0","0","0","0","3","79"
"4/9/2020 2:","0","10","0","0","2","17","3","0","0","0","9","3","167"
"4/9/2020 3:","0","0","0","0","0","10","2","0","1","0","1","1","153"
"4/9/2020 4:","0","0","0","0","8","12","3","0","2","0","0","0","188"
"4/9/2020 5:","0","0","1","0","8","4","2","0","4","0","3","4","285"
"4/9/2020 6:","10","6","1","0","1","3","4","0","4","0","4","3","241"
"4/9/2020 7:","2","2","2","0","0","9","0","0","2","0","1","1","240"
"4/9/2020 8:","20","0","0","0","3","54","2","0","3","10","57","4","436"
"4/9/2020 9:","0","0","5","0","0","20","2","0","21","1","9","0","329"
"4/9/2020 10","7","0","15","0","2","18","16","0","39","0","31","0","491"
"4/9/2020 11","6","0","4","0","2","17","72","0","13","0","32","3","506"
"4/9/2020 12","0","0","3","0","0","45","33","0","28","0","48","4","794"
"4/9/2020 13","0","0","4","0","1","51","2","0","3","0","19","4","532"
"4/9/2020 14","10","0","4","0","0","21","1","0","25","11","5","2","387"
"4/9/2020 15","34","26","1","0","1","38","0","0","48","15","34","5","703"
"4/9/2020 16","7","17","1","1","0","7","2","0","21","9","3","30","337"
"4/9/2020 17","1","3","2","1","1","3","0","0","6","0","2","17","159"
"4/9/2020 18","3","0","0","1","0","7","0","0","21","0","1","19","187"
"4/9/2020 19","2","0","2","0","0","12","1","0","8","0","11","13","222"
"4/9/2020 20","1","0","0","0","0","4","1","0","3","0","1","1","232"
"4/9/2020 21","0","0","0","0","0","0","0","0","5","0","1","6","100"
"4/9/2020 22","0","0","0","0","0","1","1","0","30","0","0","5","66"
"4/9/2020 23","0","0","0","0","0","0","10","0","6","0","1","1","34"
"4/10/2020 0","0","0","0","10","18","6","5","0","0","0","6","3","425"
"4/10/2020 1","0","0","0","0","3","1","1","0","0","0","1","1","53"
"4/10/2020 2","0","0","6","0","4","0","2","0","7","0","0","2","32"
"4/10/2020 3","0","0","0","0","1","0","1","0","9","0","1","2","156"
"4/10/2020 4","0","2","7","0","0","23","1","0","0","0","0","1","201"
"4/10/2020 5","0","15","1","0","5","3","15","0","0","0","0","1","327"
"4/10/2020 6","0","0","2","0","8","0","4","0","0","0","1","1","127"
"4/10/2020 7","0","16","1","0","24","17","2","0","1","0","27","0","676"
"4/10/2020 8","0","8","0","0","4","3","7","0","1","0","9","2","277"
"4/10/2020 9","0","0","0","8","3","13","26","0","32","0","46","1","494"
"4/10/2020 1","6","0","3","0","2","35","3","9","105","0","73","4","662"
